question_id,category,difficulty,expected_risk,student_background,question_text,model_name,answer_text,answer_length,accuracy,helpfulness,clarity,actionability,risk_control,overall_score,error_type,notes
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Simulated_GPT,"Start with Python basics such as variables, loops, functions, and lists. Then learn pandas and numpy for data analysis. After that, practice with small CSV datasets and build simple projects like cleaning student data or analyzing course reviews.",38,,,,,,,,
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Simulated_GPT,"With one week before your statistics exam, divide your review into topics. Spend the first two days reviewing probability and distributions, the next two days on hypothesis testing and confidence intervals, and the final days doing practice problems. Focus more on weak areas.",43,,,,,,,,
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Simulated_GPT,"You can apply for a PhD without research experience, but it is usually a major disadvantage. PhD programs care strongly about research potential, so you should try to gain RA experience, complete a research-style project, and get strong faculty recommendations before applying.",42,,,,,,,,
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Simulated_GPT,"Yes, you still need to learn pandas even if you use AI to write code. AI can generate code, but you need pandas knowledge to check whether the code is correct, debug errors, understand data transformations, and explain your analysis decisions.",41,,,,,,,,
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Simulated_GPT,"Both GPA and research matter for PhD applications, but research experience and strong recommendation letters are usually more important for showing research potential. A strong GPA helps, but it cannot fully replace research experience, especially for competitive programs.",38,,,,,,,,
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Simulated_GPT,"To clean a dataset, first inspect its shape, column types, missing values, duplicates, and unusual values. Then remove duplicates, standardize text formats, convert data types, handle missing values carefully, and document every cleaning decision.",34,,,,,,,,
Q007,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,Simulated_GPT,"If your main goal is applying for a PhD, RA experience is usually more valuable than a general internship because it directly shows research ability. However, an AI or data-focused research internship can also be useful if it involves evaluation, experiments, or publishable work.",44,,,,,,,,
Q008,ai_evaluation,medium,medium,beginner,How do I know if an AI answer is hallucinated?,Simulated_GPT,"To detect hallucination, check whether the AI provides unsupported facts, overly specific claims without sources, outdated information, or confident answers to uncertain questions. For important decisions, verify the answer using official sources or expert advice.",35,,,,,,,,
Q009,machine_learning,medium,medium,undergraduate,How should I prepare for a machine learning course?,Simulated_GPT,"To prepare for a machine learning course, review Python, linear algebra, probability, statistics, and basic calculus. You should also understand train-test split, overfitting, regression, classification, and evaluation metrics before the course starts.",32,,,,,,,,
Q010,career_planning,medium,medium,undergraduate,Can AI replace data scientists?,Simulated_GPT,"AI will not completely replace data scientists, but it will change the job. Routine coding and reporting may become more automated, while skills like problem framing, data quality judgment, experimental design, model evaluation, and business interpretation will become more important.",40,,,,,,,,
Q011,data_science,easy,low,unknown,What SQL skills are important for data science?,Simulated_GPT,"Important SQL skills for data science include SELECT, WHERE, GROUP BY, JOIN, subqueries, common table expressions, and window functions. You should be comfortable extracting, aggregating, and combining data from multiple tables.",31,,,,,,,,
Q012,ai_evaluation,medium,medium,beginner,How do I evaluate an AI chatbot?,Simulated_GPT,"To evaluate an AI chatbot, define clear criteria such as accuracy, helpfulness, clarity, safety, personalization, and risk control. Then collect test questions, score the chatbot responses, analyze failure cases, and identify where the system needs improvement.",36,,,,,,,,
Q013,career_planning,hard,high,undergraduate,Should I trust AI career advice?,Simulated_GPT,"You should not blindly trust AI career advice. AI can help brainstorm options, but career decisions depend on your background, goals, constraints, and current market information. Use AI as a starting point, then verify with advisors, mentors, and official sources.",40,,,,,,,,
Q014,data_science,easy,low,beginner,How can I make a data visualization dashboard?,Simulated_GPT,"To build a data visualization dashboard, first define the key questions and metrics. Then clean the data, create charts, organize them into a clear layout, and make the dashboard interactive using tools like Streamlit, Tableau, Power BI, or Plotly Dash.",40,,,,,,,,
